id,indivfinfeel,immfeel
1227,"I have a lot of student debt, and can't afford a car and am barely able to save for a home.",Good thing
1228,So-so,Should be closely monitored
1229,It sucks,
1230,We are comfortable but can't be extravagant.,"As an immigrant myself, I know our family worked hard and were not dependent on a dime from any of the governments. We made it just fine. It's ridiculous for immigrants to expect everything on arriving in Canada. We had to make arrangements through a consul and on arrival (mom, dad & 4 young kids) had a place to live and my dad had a job waiting.  What's wrong with this country? Before coming here, can't people get in touch with assistance before they arrive?"
1231,It's bad. We already have a low income and rising hydro prices and gas prices are not helping.,"Being an immigrant, I approve."
1232,It's okay,
1233,It's okay,It's okay as long as the government does not give them money
1234,Not good,
1235,Could be better,Needs to be more strict
1236,,
1237,,
1238,Good,Quicker way and simpler process for parents
1239,Improving,"Much needed skills, take jobs Canadians may refuse."
1240,Not happy,If educated and willing to work
1241,Getting by,Good for the country overall
1242,Happy.,There should be less immigrants.
1243,"Ok. Both my kids graduated from university, that's a good enough accomplishment",We need more young people because of our aging population
1244,"Being retired and on a fixed income, the Provincial Government increasing taxes in various areas and disposing of Provincial assets, I know it is getting worse.","After World War 2, Immigrants and Refugees had to spend at least one year working on a farm before going into the cities and I feel that this program should be reintroduced."
1245,I'm a student.,I'm an immigrant.
1246,I feel comfortable and satisfied with my personal financial situation.,"I think that we should promote immigration, however we need to focus on people who can fill vacancies that currently exist to ensure that they are not unemployed or underemployed when the arrive [i.e. doctors who are unable to practice because their credentials aren't recognized]."
1247,,
1248,Manageable,Good deeds
1249,Getting better thanks to hard work,We let those who leech of society in and qualified people don't get in
1250,I would like to be earning more money and pay less taxes and be able to put more money in my retirement fund so that I could retire sooner .,I feel that immigration is good for Canada but there should certain requirements that the immigrants should adhere to such as what type of skills they have to offer Canada.
1251,Not going anywhere. Just making it.,
1252,Very tide,Not that good
1253,"Good, but worried about cost of child care down the line",Gives others a chance to lead a better life.
1254,,
1255,Getting worse with every new tax increase.,Put them where they have room and a need.
1256,It's a mess,There is too much immigration into Canada
1257,It's very sturdy,Everyone is so worried about nothing. In reality it's just lazy Canadians looking for a scapegoat
1258,Fine,Fine
1259,Very comfortable,Maintain our standards for entry
1260,"Could be better, could be worse.","It is a kind thing to do, and the right thing to do, but follow the process, don't just show up with all your belongings."
1261,Doing ok,No opinion
1262,I am living comfortably with my financial situation. I have money saved up in case of an emergency and don't see any real financial problems in the foreseeable future.,They should not let too many immigrants into Canada. They are taking away jobs that Canadians could possibly have.
1263,OK,"Since I am an immigrant, I am for it. Immigrants helped build this country to what it is today."
1264,Comfortable but just hanging on,Come and be Canadian even - Canadian
1265,,
1266,Its not bad as my wife still works a bit and we rent out a apartment in our home and that pays taxes and energy,"If done the proper way that's good, border jumping is NOT good"
1267,Living ok can pay the bills with something left over,If the right people come with skills
1268,Getting worse,Good for country
1269,Okay,It needs to increase
1270,Satisfied and confident it will improve,"It is excessive, unnecessary, and unchecked"
1271,,
1272,"I am extremely comfortable as I save much more than I spend and don't have many large expenses (no car, don't have/want kids, no debt). Obviously, I would prefer to be rich and retired, but I am in no danger of starving.","Immigrants often do jobs born-Canadians refuse to do. They often work much harder too. I'm all for immigration, especially since population dynamics are pointing toward issues with funding our social programs and declining working-age numbers."
1273,SURVIVABLE BUT SHOULD BE BETTER,IMMIGRATION IN CANADA CAN BE A GOOD THING
1274,Need to be more stable now that we have a son to raise. Very hard to get ahead significantly. Can't plan for retirement and my son's education - one or the other and he comes first.,Accepting immigrants is a responsibility that Canada should be proud of. I feel immigrants add a cultural depth to our country and enhance the depth of our national diversity.
1275,Struggling,Nothing
1276,"Scared, hard to get things for us",Hard to say
1277,"At ease, comfortable but not complacent","I was born in Greece and consider myself an excellent all-around, loving, giving Canadian (Nova Scotian)"
1278,It is not getting better because many items are going up in price and is depleting any expendable income,"Immigration is a good thing handled properly - it needs to be balanced with immigrants that can work and refugees, 

but no border jumpers - period. They are displacing others who have been waiting for years"
1279,Taxed to death,Our federal government has made a joke of the immigration process
1280,It's ok,It's good
1281,"At present it is stable, however, I feel that within the next several years my situation will change for the better.","I agree with Canada's immigration system, however, there are Canadian families who have no jobs or lost their jobs due to downsizing. Canada should have a policy of re-training for these personnel to help them get back into the workforce ASAP. Money spent on some of the immigration policies could be better spent on jobs for Canadians, helping seniors on fixed incomes and lower taxes."
1282,Stable,More emphasis on quality immigrants and allow their qualifications temporary equal status
1283,,Immigration is OK but illegal immigration is out of control
1284,Hopeless,Send them back to their country
1285,,
1286,"Comfortably retired, able to travel extensively, no financial concerns","We are a nation of immigrants.  If we were willing to contribute more through taxes, then we would be able to better care for all Canadians."
1287,Rud and I,Hi the I am can you
1288,Stagnant. If cost of living increases might find difficult to make ends meet,Good to help immigrants but lets not forget existing poor and middle income natural Canadian
1289,Ok,
1290,Struggling,Okay
1291,,
1292,"I would be happy with the amount I make now that minimum wage has gone up. However, all the businesses cut hours and raised prices so the wage increase has not made much difference.",Canada is a multicultural country. Our society is built on this idea.
1293,Coping,Generally in favour provided people are vetted properly
1294,,
1295,"It's a bit of a struggle keeping things as they were. Prices going up, gasoline, etc. ",It's gotten excessive with purge in Quebec
1296,"As a single living pensioner who worked all my life in the province of Ontario, I am presently hoping to get support through Niagara Regional Housing for subsidized housing.  It's pathetic",Out of control
1297,Needs to improve,Allowing immigrants into Canada is the decent thing to do but there cannot be unlimited immigration.
1298,It's not getting any better,They should cut back on it
1299,Taxed too much,Fit in or fuck off!
1300,Great,We need it
1301,Comfortable but not due to current government,Too many economic refugees are getting in
1302,,
1303,Okay,Keep as is
1304,,
1305,Government doesn't seem to be liking its people to save money,"It is very difficult to get residency in Canada, it should be made easier."
1306,I am coping,If they are legally here all is good
1307,It is stable.,Immigration is a waste of tax dollars.
1308,I make enough to survive.,We're doing enough. We need to help local people first before others from other countries. To many homeless asking for money and struggling to survive that are already Canadians.
1309,Adequate however no advancement,"Too many coming in to be supported by Canadians. More checks should be done and no one with criminal record should be admitted and if found, immediately deported"
1310,Hopeful but more stressed over last few years,Helpful for the most part
1311,,
1312,,
1313,Could be better,I have no problem with it
1314,Living paycheck to paycheck with no personal extra income,They have so many people on government assistance they should help them get an education
1315,Good,Ok
1316,,
1317,"Well, its not very good right now. I don't know why.","I don't feel any ways about it, lol cool"
1318,,
1319,Everything has gotten more expensive,The processing should be more expedient
1320,Anxious,Fine
1321,Cannot meet current obligations due to unplanned health issues,More scrutiny should be applied so as to reduce reliance on support and benefit programs
1322,Coping but having to run a small business in order to do it.,
1323,It can always be better but I am not complaining,Canada is an immigrant country so everyone should be welcome
1324,,
1325,"It is getting better, but I would like to be doing better than living from paycheck to paycheck","As for housing for example, it should be that you look after the homeless that is here now first then worry about the refugees"
1326,,
1327,I am financially stable,It has an overall good impact
1328,It needs to get better.,It should be regulated better.
1329,"My personal financial situation is not that good, it's very hard to find good job.",Very hard to get into Canadian system
1330,My ex wife does not work and she has zero reason or incentive to work because government polices allow her to live off my hard earned salary without any reason to lift a finger. Criminal!!!!,Certain countries with high percentage of criminal activities  should be limited compared to higher educated countries.
1331,Needs improvement,I am a landed immigrant and I love Canada
1332,Feel good,Slow it down
1333,,
1334,,
1335,,
1336,Comfortable,Too many immigrants all together. We should be focusing on all Canadians first before others.
1337,Worried about the future as O.A.P. have not even been mentioned much by the political leaders.,"Immigrants are what made this country great, but the immigrants of the past are the old people of today and are looked upon as a burden and not as the resource they once were. Canada pension is not a charity. It was paid for by the workers and the employers and should be out of reach of greedy government who treat it like a ponzi scheme...

























"
1338,,
1339,"not bad, living very well","Need many more people coming in legally. Canada population is too small for the size of this country. More people, less cost for all."
1340,Could be better,"Too much money spent on immigration, not enough on our own seniors and Canadians"
1341,OK,OK
1342,I'm concerned about growing old past retirement.,I welcome our diversity yet we still must be careful in how it is managed.
1343,Not looking rosy at all!,"We all came from immigrants, let's be real"
1344,Day to day,I'm ok with it
1345,Bad,Less
1346,Not good,"While immigration is good, there has to be a limit. The city has more population than it can handle. This is leading to more congestion, higher house prices and higher price for consumer goods."
1347,,
1348,,We or our ancestors immigrated from somewhere down the line.
1349,Good,"Many of them disrespect the ""Canadian"" culture and just do whatever they feel, as if they are still living in their own country."
1350,Could be better. It is challenging,It seems to be fine
1351,Feeling ok,Secular
1352,It's good,I don't know
1353,"Well I'm on disability and they don't pay enough to live on a month. I went on the basic pilot program so let's see if this is better. They should raise the Ontario disability, you only get 1100 a month to live, pay rent, buy food and pay your hydro, gas, water, telephone and cable. How do you live on that a month? You can't. It sucks. If you raise minimum wage, you should raise Ontario disability and old age pension and CPP.",It seems they get more money to live here when they come. The people that live in Canada get less
1354,Senior pensions could be higher,"We should help those people, especially women and children"
1355,I'm lucky my parents are still helping me with some bills.,It's a good thing.
1356,"Expenses keep going up but salary stays the same. Getting harder to stay ahead, not possible to save for retirement, nothing left",Too many people coming in...taking away too many resources
1357,,
1358,I struggle to get by,I think it's essential to help out other humans despite borders.
1359,There won't be any family vacations.,It will never change but I do believe we have millions of Canadians in need of the benefits we offer immigrants.
1360,Needs to be improved,It is a great thing to give people second chances and a better life.
1361,We struggle to get by daily,I believe that they take our jobs and they live better than us. Most have money from their home countries and don't need ours but take it anyways
1362,Very uncertain -job can be lost any day & it's hard to find another,
1363,Fine. Not a big deal.,It's much better than most other countries.
1364,It could be better.,It benefits Canada over the long term.
1365,Not well,
1366,Comfortable how it is,It is a good thing
1367,It is ok but sometimes it is bad in certain months,"I think it is good because it keeps the population up, as long as we are careful of who we let into our country"
1368,I do not like the interest rates going up,Too many immigrants
1369,I am comfortable,Strengthens economy
1370,It's hard but I'm overcoming it,I don't like Indian people
1371,Barely adequate,Should assist current residents more before aiding immigrants
1372,"I was laid off in 2016 and have been unable to find a suitable job, making my financial situation strained.",Immigration is needed.  It is also important to take a number of refugees each year.
1373,Could be better,Canada need immigrants but should be particular on their ability to find work as well.
1374,Desperately trying to stay alive,It can help but at times it takes jobs away from Canadians
1375,Just back to work after maternity leave.  So it's about to get better.  But we are good!,
1376,I am receiving my pension so most things the government does will not affect my life much. I already get a discount on my hydro.,"Canada needs to slow down immigration levels and only allow people in who are actual refugees. There have been several thousand people that have just walked across the Canadian border this year and claim to be refugees. They get housing , health care, etc. while they wait for their cases to be heard. We should look after Canadians first ."
1377,Taxes and rate of interest of mortgage loan has became too much. Poor financial situation,Do not allow illegal refugees
1378,Not too good.,"We are all immigrants, doesn't matter if you were born here."
1379,Bad,Nothing
1380,It could get better,It needs to be more considerate to immigrants
1381,Terrible,Stricter rules should be applied.
1382,,
1383,It's not enough to pay our bills.,I feel Canada needs to take care of who is already here before bringing more in.
1384,Having to pay income tax on C.P.P. benefits is a hardship,"I feel immigration is good for Canada. I do not agree with over populating cities (like Toronto) that has housing issues and employment issues. I also do not agree that we pay for social services (housing, medical, etc.) They need to come to Canada prepared to work hard and pay taxes, and work towards Canadian Citizenship"
1385,"It's fine, middle class","There is too much of an influx of immigrants; Canada feels like a different country now;  our way of life is being changed to accommodate everyone else's cultures & traditions;  grocery stores are carrying all kinds of foods that were never on the shelves before, making less room for brands we have known & used;  clothing styles are changing; I worry about more kidnappings and the inability to find the children due to them being swathed in scarves hiding their faces;  safety on the roads due to women driving with their faces almost completely covered (adequate peripheral vision?); stores carrying cheap merchandise because immigrants have that mindset"
1386,Nervous,Scared
1387,,
1388,na,"Need to have educated, healthy, sponsored (so they are not a burden to Canadian tax payers)"
1389,I wish I had less debt,I think it is good for the economy
1390,Very good,"What Trudeau is doing, terrible. Our Vet, seniors, etc. need help first. You don't bring people in and pay them big bucks for doing nothing but complaining. Let them go back to were they came from. The are freeloading."
1391,Excellent,Too many
1392,I earn enough to live without debts,It's ok
1393,I'm good but worried in the future,"Good, it's very good"
1394,Ok,No
1395,.,
1396,,
1397,Positive,It is necessary for economic growth
1398,Not proud of it,I feel that its a good idea but there are lots of Canadians struggling that should be helped first
1399,It's tight and I'm on a strict budget.,"I'm for it, as long as there is thorough screening."
1400,,
1401,,
1402,It is okay at this time.,I feel that there should be more immigrants allowed to come to Canada.
1403,I am broke and in debt at age 25,I feel like our homeless should be helped before others
1404,Hoping it improves in the next few years,Too many people are immigrating to Canada and reaping benefits that people who have lived and worked their whole lives here have contributed to. They want special rules and don't want to follow Canadian rules.  If you don't like our laws don't move here
1405,I am ok with it but I would like it to be better.,I am an immigrant so I will think immigration do the job .
1406,On odsp at 29 makes me feel no security financially for my future and not being able to help take care of my family in the future due to that.,It can be both a great and horrible thing all at once but we shouldn't live in fear and punish the innocent who are only trying to have a better life. A lot of experiences immigrants have gone through are unfathomable to most Canadians.
1407,It is good.,I believe we need immigrants to do jobs for which there are not enough trained Canadians and jobs that Canadians will not do.
1408,Frustrated,Whoever comes to Canada should comply with our laws
1409,"Due to chronic illness, I am just getting by right now.",Too many deplorables are let in - there is no quality control anymore.
1410,Difficult keeping up,
1411,Worse,Good life
1412,,
1413,I feel like me and my family are trying to cope with it everyday and I hope it gets better in the near future,"As an immigrant, I personally feel really grateful to be here because I lived in a refugee camp almost all of my childhood but being an immigrant is really hard and I think the government should definitely do more to help immigrants"
1414,Will get better once I am more established in my career.,Positive
1415,,
1416,,
1417,We are living pay cheque to pay cheque because I lost job opportunities due to becoming disabled. Years of fighting for the money I deserve has put a strain on our income.,"We are LAND OF THE FREE, so why should we deny anyone seeking refuge?! Too many racist and ignorant people making or trying to make the decision to keep immigrants out and not enough people having the true Canadian attitude. We embrace all and that's how it should always be!"
1418,,
1419,,
1420,Comfortable,
1421,Okay,It's good for the economy
1422,Pay check to pay check,"Bias, they welcome refugee and give them all they need but their own people are suffering due to a lot of refugee coming in and the government funds them coming from the pockets of its own people. They take away some of the benefits of its own people to give to them while those on the middle to lower level class of life stay where they are because our economy is getting worse due to more and more refugees are coming in that the government needs to support instead of its people."
1423,We are ok but would be compromised if my husband lost his job (and I am unable to work),System is back logged and it would be great if companies followed Dyson Manufacturing example and how they helped the Syrian folks
1424,,Helping build the country
1425,Not feeling good about my financial situation,Should not be allowed into Canada. Have to look after our own people before they take them into Canada
1426,,
1427,,
1428,Not great,We are a multicultural country
1429,,
1430,,
1431,,"There a lot of Canadians in need too, they're helping others before they help their own. If the roles were reversed would we get the same treatment, roof over our head, jobs for our family, and a bank account with money? I doubt it"
1432,,
1433,,It's ok
1434,Okay,Fine
1435,,
1436,,
1437,Scared for the future,"We have enough immigrants. We cannot take care of our own right now. There is not enough affordable housing, health care has wait times that are outrageous never mind having to be almost have a foot in the grave before being able to get a joint replacement.  School system is shot.  Colleges and universities are not producing qualified people as they don't fail students for fear of lack of enrolment. I could go on forever. When do Canadians actually get a break? Why do immigrants get more than what you are willing to offer Canadians? Before immigrants get all the perks, they should be here long enough to be citizens and become citizens."
1438,Hopeless,"I feel that it is positive, but I also feel that it has contributed to overpopulation and lack of housing in big cities such as Toronto."
1439,I am not happy with my situation,I have no problem with it
1440,"I AM NOW RETIRED AND ON PENSIONS FROM THE GOVERNMENT AND WORK. HOWEVER, EVERYTHING HAS GONE UP THIS YEAR FROM RENT AND UTILITIES, TRANSPORTATION COSTS, FOOD ESPECIALLY, DRUG COSTS, PHONE, INTERNET. I CANCELLED T.V. I AM A PAY TO PAY PERSON NOW WITH NOT BEING ABLE TO PAY MY BILLS IN FULL EACH MONTH NOW.",WE NEED MORE YOUNGER PEOPLE WHO ARE WILLING TO WORK AND SUPPORT THE COUNTRY THROUGH THEIR TAXES AND LOCAL ORGANIZATIONS. THERE IS AN ALMOST EXPLODING PROBLEM WITH THE SOON TO BE RETIRED AND OLDER POPULATION WHO WILL NEED FUNDING SUPPORT. THERE JUST IS NOT A BABY BOOM TO HELP WITH FUNDS IN THE FUTURE SO WE NEED TO LOOK TO IMMIGRANTS TO HELP.
1441,Terrible. We are just barely getting by.,They should stay in their own damn country. We don't have enough money to support our own but will gladly bring in a bunch of terrorists? Because that's logical :(
1442,Using up savings to cover my living expenses due to health issues because too hard to get other financial support or medical help in a timely manner.,
1443,,
1444,Live paycheque to paycheque. Not always able to pay bills.,
1445,Limitations from disability keeps me in poverty,Welcome all newcomers
1446,"Currently stable, could be better.",I don't know much about it. I think immigration is a good thing because diversity is a good thing.
1447,We never have enough to make it through the entire month,"If they come in legally with proper papers and identification , I do not have a problem. But when they sneak across the border from the US then they should be sent back to the US and let them deal with them"
1448,Stressed,"As long as we are bringing safe families in, I have no problem helping people"
1449,Good,Good
1450,Depressing,Welcome
1451,,
1452,I just want to have a steady job,Pretty diverse.
1453,I am holding my own.,"I feel that there is too much given to some refugees in the way of furniture, clothing and other household goods when others have to work and wait for these things"
1454,Horrible,No opinion
1455,"Not good. I remember years ago, an office worker actually made $14 an hour. When they raise the wages up to $15, that's sad. Should be a lot more",As long as they abide by our Canadian rules
1456,,
1457,I feel awful that I can not pay my bills,Let some one else take care of them. We need to concentrate on our people first
1458,Not very good. Need to down pay debts,Do not like it. Too much crime from gangs from other countries that continue here and getting free assistance and jobs when seniors need help for housing and home care
1459,I feel OK. Of course would like more for retirement,We should always do what we can.
1460,Okay,Open to all
1461,,
1462,Worried,"Everyone deserves a chance at a good life. However, as a third generation Canadian, who's great grandparents were a part of the first wave of immigrants to arrive in order to try to populate Canada, they were promised a better future for their themselves, their children, and their children's children, etc. I doubt any of them would be very happy to know that 100 years later, nothing they did would be of any benefits to their great great grandchildren, that many of the government grants, supports, etc. would not even be available to their great grandchildren, that instead people who have just simply landed in Canada this year would have more supports available to them then the people who have a long history in Canada with over 100 years worth of tax paying under their belts. Put their lives on the line for their country in WW1  and WW2, suffering mental, physical and emotional wounds that will never heal just so that 80-50 years later, other people who just landed in Canada can benefit from their great sacrifices more than their own great grandchildren. How wonderful for the Canadians that are third generation or  higher to get shunned in favour of someone who has been here an entire five years and hasn't put the work into this country that others have. Yet, all these wonderful grants and start up supports like business start grants are only available to minorities. Just one of many examples of the government catering to immigrants far more than Canadians who have been here a long time. Gee, would be nice to get the same access to start up supports so that I too, can take a stab at having a good life. Unfortunately, no such luck. Do you think that in other countries the landed immigrants get way more opportunities than the long time residents? Hell no. Canada needs to focus on their own first, there's a lot of examples of immigrants taking advantage of us a as an opportunity for easy money. So opportunists just slide on in and milk the system dry and then we suffer."
1463,,
1464,,
1465,It's okay,Okay
1466,,Mostly good
1467,It could be better,"I'm for it if they need to come because of war, famine & etc."
1468,"Could be better, less taxes","Should be stricter laws. If an individual would contribute and better our country, allow them in. Stop bringing in those who drain our system and do not contribute to our economy"
1469,My financial situation is better even though I have less income. I have learned to create a good budget and track my spending carefully and this has helped me improve my personal financial situation.,Immigration to Canada is great for making an improvement to our government. Only if they become criminals and create problems then we need to get rid of them. This way we have the good immigrants trying to help our economy grow.
1470,Looking to find a good job,Positive about it
1471,Not very good,We are already over populated and do not have the funds to support more people
1472,,
1473,Not good,
1474,Not much,Really not fair
1475,Stressful,Good
1476,Just fine,Great opportunity
1477,,
1478,,
1479,Comfortable,
1480,nnnm,"n,"
1481,Living on basic needs,I feel we help too much. We have Canadians that need help right here in our country
1482,Stressed,Unfair
1483,Not very optimistic.,It's good to accept people.
1484,Stressfully coping,Happy to help but there is a limit. Let's help Canadians too
1485,Can't afford to live in GTA anymore. Our home prices are ridiculous. We pay too much income and at the retail level. Sales tax in the US is usually 4% in most states. Housing is 1/4 the price of ours. Our dollar is undervalued.,I support immigration as long as it is fair for Indigenous Canadians. Many of my family members are immigrants.
1486,Going from bad to worse. This is not a country for the mentally ill or disabled,"We need to stop relaxing our immigration laws or we are going to end up like American. They are not an example to follow. Australia is a good example, very intolerant laws of immigration"
1487,Stable,Way out of line.
1488,Not very good,I feel like it's a good thing. But I feel like Canada should be overall fair with everyone - equal
1489,Annoyed,We are equal regardless of our status
1490,,Take care of those already here before you bring in more
1491,,
1492,I struggle to make ends meet and I lose sleep over how to better provide for my family.,We have an obligation to society and mankind to help one another. The scope of how much we can do is the issue. It has to be enough but also can't take away from current Canadians that are living in poverty.
1493,"Living ok, but could use more to live more comfortably. I'm on ODSP","I believe that until every Canadian is housed and fed, immigrants or refugees should not be allowed into Canada."
1494,Good but could be better,Needs to be limited. They seem to matter more the born Canadians
1495,"We eat soup at least 4-5 times a week. And dumpster diving is out. We try to eat well on weekends. We have great friends next door. Our nephew works for a farmer, he gives us food when he can. We have a huge mortgage and we live in a dump, we can't afford to fix it up. And medications are out of this world and more and medications are coming off the ODB list therefore you pay the full price.  I think our government is biased against older people. Well a lot of people are ignorant of us (even these surveys we do for a little extra money, you don't fit the demographic). Hell we have been through all of them. They can raise the pay of the teens to 15 bucks an hour, give a murderer 10.1 million to a murderer all because he got beat up, he is alive the other guy is not. I think he should have murderer on his forehead. Oh yeah give all the kiddy-poos free meds.  I think they're just waiting for us to die. If this is democracy it stinks. I learned in school double taxation was illegal. We are taxed up the wazoo. Equality we ain't got.  And Winney-poo as she is known to the unwashed peons. If she worked for a company she would be fired.  I think the government is an old boys club, they get too many perks. Winney-poo and Trump should be sent to Iraq for target practice, that's what my hubby says. Sorry about the few words. I could still go on.","I am a British immigrant. We did not get anything but piece of paper, and we have been scratching in the dirt ever since. These immigrants should be investigated through a microscope. I know this sounds harsh and I was a nurse, they let people in with diseases that drains the economy. Everyone on welfare should have to work like shoveling snow in places that do not get shoveled. I'm sorry but I think welfare breeds welfare. There is one fat chick who thinks it's funny, then goes to Disney world every winter. I reported her but nothing was done. I think this country needs a good shake up."
1496,"I'm managing, but taxes and Hydro bills are killing me and have had to cut back on food and clothing in the last few months","Considering I'm a mixed-race child of immigrant parents, I feel pretty darned positive about immigration!"
1497,Living comfortably,Very beneficial and important to Canada
1498,,
1499,"Bad, very bad",I don't know
1500,,
1501,,
1502,"Struggling, uncomfortable, restricted","Proud, happy, content"
1503,In a good place,We need it
1504,I am coping,Too much
1505,"Slightly stressed, but hopeful as we're making headway now.","Positive. I feel that those who work so hard to be able to get here, can only do good. They are grateful for the new opportunities here, and the vast majority work so hard as soon as they are able to work in this country."
1506,,
1507,,
1508,,
1509,,
1510,,
1511,,
1512,Bad,Bad
1513,I feel I do not receive enough money to live comfortably. Even an extra 200 a month would be amazing.,Immigration should be reduced in Canada.
1514,,
1515,We get by,"My wife, who is American, and I have had a horrible, long, expensive process trying to get her to be able to stay here with me. So it makes me kind of mad when it is so easy for some to come and the government pay for them when I've had to work to support her and her mother because she couldn't work here etc. ."
1516,None,None
1517,,
1518,"Hoping for it to improve through my own actions, as well as hope the government things of helping it's peoples issues as well.",It's a good thing for our country because of the low population compared to our land mass.
1519,Not easy,There is still racism
1520,Frustrated,Done
1521,,
1522,,Ok
1523,Blah,
1524,I don't know,Cool
1525,It's ok,Not likely
1526,twa,Ya
1527,Really bad,Not good
1528,Nothing bad,Awesome
1529,I am on Ontario Disability. I make it stretch to the breaking point. Everything the Liberals do makes the breaking point come earlier in the month,"Overall its a good thing. I am all for people from all over the world coming here legally & we should willingly accept them. I don't like illegal immigrants taking advantage of Canadian's good nature, pushing those trying to get here legally further down the list"
1530,,
1531,,
1532,,
1533,Both my wife and I on ODSP,
1534,I do not feel safe in financial situation for getting married and it's not good for young people :(,
1535,Very well off,It is good. Makes us #1.
1536,,
1537,My financial situation is really bad. I've used credit cards so much for online gambling and as a result I've racked up so much debt. I don't know what to do. And there's so little left in my bank account. I feel hopeless. I wish I could get some money to help me get myself out this problem I created. I feel like a total loser,I wish more people from Asia and Africa and America and more Mexicans and Cubans would immigrate here :))))))
1538,Ok,Typos people need a place to live
1539,Getting by,We do way more than many countries
1540,It's adequate for my needs.,I feel overall it is a positive thing for the country.
1541,It's good,Europe 2.0
1542,"Living comfortably, enough to put money aside every other month.","Immigration is definitely needed, but NOT refugees. We have enough people in a dire need of help here. ONLY when ALL of them are taken care of - seniors, handicapped, etc. and there is next to NO unemployment in the country can we start thinking about refugees. Skilled trades and highly educated immigrants should be a priority. Sponsorship should be limited only to spouses, kids and parents - that's it."
1543,It's good but could be better,We should focus on our own citizens first
1544,I was forced to file for personal bankruptcy in May 2017.,"Canada needs to take care of their own people first! Too many immigrants take government money that could and should be allocated to Canadians, such as veterans, seniors, and child care."
1545,It's ok,It helps the country
1546,I'm able to get through knowing I make good money.,I think it's caused some problems but is helping our country.
1547,I'm feeling moderately okay.,Immigration is great as long as people assimilate and don't cause issues.
1548,Crappy,Charity begins at home.
1549,Very bad,Less needed now
1550,Feels pretty good!,Keep bringing appropriate people in
1551,I feel okay,GREAT
1552,Could be better,
1553,,
1554,,
1555,None,None
1556,I'm fine,The point system is cruel but effective
1557,,
1558,,
1559,"I currently live in Alberta under an equally terrible government, but since I am in the military and I am fiscally responsible and knowledgeable I am doing fine on my steady income.",We have a terrible system with not enough checks and balances. Government is terrible at almost everything it does and this is a real problem especially when it comes to immigration. We must only accept those that offer a benefit to us; as with any other day to day decision we make. Furthermore the laws on the books must be enforced which is not happening under our current feckless and pathetic government.
1560,Would always like to make more money,None
1561,I'm satisfied.,It is quite frankly very 'Canadian'! Which is a positive point.
1562,Had to get a part time job,We need more of it
1563,Ok. Wish we would spend less on non-necessities,Proud we're doing our part.
1564,I struggling but in the end I will make it through,I feel like we're doing a good thing to help people in need
1565,,
1566,Well,Free for everyone
1567,Excellent so far,
1568,Pretty bad,Neutral
1569,Currently okay but worried about the future,It is the process by which Canada became the wonderful country it is
1570,,
1571,Living below the poverty line sucks.,No comment
1572,,
1573,,
1574,Not awful but not great.,I think it's good overall
1575,I want more money,"Trudeau is bringing ""reformed"" Isis members back to Canada. These people not too long ago had guns pointed at this country and our allies and this sick twisted baby we call Prime Minister is letting them into the country. Its disgusting. Immigrants from these Arab and Muslim nations on the whole have very evil and vile beliefs (their religion) you can see the devastation they cause by looking to Europe now. There needs to be major and extensive background checks for all immigrants coming from hostile and bad religions to pick the good from the bad. And if that means they stay in holding communities where they can't leave until they are vetted well that's the price of freedom. I don't care."
1576,,
1577,It could be better,It is good to bring skilled workers in to fill jobs that we cannot fill ourselves
1578,The cost of living is getting higher and higher with loads of bills and taxes with unseen usefulness or benefits; it's not even obvious to get your head above water even with a 100k year salary,Compared to most countries in the world Canada is regarded as a safe haven for immigrants; but still more efforts should be made towards economic and work conditions
1579,,
1580,Good,Good
1581,Fine for now,It's ok but requires caution
1582,It's very tight,We need to take care of our own first.
1583,I could be doing better,I think it's the best thing about the country
1584,Very bleak,"There is too much of it, lets worry about our own first."
1585,I'm living pay check to pay check,I believe that immigrants are an asset to Canadians
1586,It sucks,We're all immigrants. Native Americans were here first
1587,n/c,n/c
1588,,
1589,"In general my financial situation is comfortable, just not comfortable enough to become a home owner","The immigration policies are fine, it's the manpower to efficiently process these immigration requests/applications that needs to improve"
1590,"Inflation affects our lives, especially the gasoline price, it goes up very fast.",Stupid and easy allow the refugees stay in Canada. They don't care Canada has a lot of debts.
1591,Sucks,Do not know
1592,Not sure,Not sure
1593,Acceptable,Acceptable
1594,"Very bad, the liberal government are a bunch of fools. Now making weed legal to kill off our kids. Stupid fools. I would never vote for them again. And taking in 50 refugees to go on welfare and people here are struggling and living below our means",All these refugees for 20 30 years on welfare and working people can't pay rent. Only Caucasian people from Syria while we are filing for family members for years and get denied.
1595,My personal financial situation is excellent,I think immigration to Canada is great and shows the true spirit of Canada to welcome and help new people in our country.
1596,Personal finance situation is stagnant at the moment and fluctuated at times.,Immigration is a great benefit for the Canadian society as we can benefit from an array of various foreign cultures and expand our country. More screening however needs to be done.
1597,Not satisfied,Hectic process
1598,Owo o of  my o age is a,Hi there I'm going
1599,Coping considering having 2 small children,Too loose
1600,,
1601,"Stable, but taxes are adding up","Unless they have qualities to get and maintain a job, they should not be allowed to drain our welfare system"
1602,,Great for the economy
1603,Very satisfying,"Good for immigrants, too lenient for refugee claimants"
1604,"It's been pretty bleak for a while. Am trying hard to think positive, and have been making moves to earn more, without results yet, but am holding on.","Immigration is part of what makes Canada great, accepting all races, ethnicities, cultures, we are all one."
